GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,geometry,_x,_y,is_cbd,geometry_wkt
127,317,611,IRT,Broadway - 7Av,Times Sq-42 St,M,True,1 2 3,Subway,40.75529,-73.987495,Uptown,Downtown,1,1,1,,POINT (-73.987495 40.75529),POINT (-73.987495 40.75529),-8236250.268469874,4976313.724786738,True,POINT (-73.987495 40.75529)
S17,515,515,SIR,Staten Island,Annadale,SI,False,SIR,Open Cut,40.54046,-74.178217,Ferry,South Shore,0,0,0,,POINT (-74.178217 40.54046),POINT (-74.178217 40.54046),-8257481.344392949,4944794.097393341,False,POINT (-74.178217 40.54046)
S01,139,627,BMT,Franklin Shuttle,Franklin Av,Bk,False,S,Elevated,40.680596,-73.955827,Last Stop,Prospect Park,1,1,1,,POINT (-73.955827 40.680596),POINT (-73.955827 40.680596),-8232725.002835433,4965343.188491902,False,POINT (-73.955827 40.680596)
254,349,349,IRT,Eastern Pky,Junius St,Bk,False,3,Elevated,40.663515,-73.902447,Manhattan,New Lots,0,0,0,,POINT (-73.902447 40.663515),POINT (-73.902447 40.663515),-8226782.768416888,4962836.1774836,False,POINT (-73.902447 40.663515)
M01,108,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,False,M,Elevated,40.711396,-73.889601,Inbound,Last Stop,1,1,1,,POINT (-73.889601 40.711396),POINT (-73.889601 40.711396),-8225352.758238157,4969865.3875062745,False,POINT (-73.889601 40.711396)
726,471,471,IRT,Flushing,34 St-Hudson Yards,M,True,7,Subway,40.755882,-74.00191,Last Stop,Queens,1,1,1,,POINT (-74.00191 40.755882),POINT (-74.00191 40.755882),-8237854.938929659,4976400.722835481,True,POINT (-74.00191 40.755882)
713,457,457,IRT,Flushing,52 St,Q,False,7,Elevated,40.744149,-73.912549,Outbound,Manhattan,0,0,0,,POINT (-73.912549 40.744149),POINT (-73.912549 40.744149),-8227907.317912881,4974676.630615639,False,POINT (-73.912549 40.744149)
615,373,373,IRT,Pelham,E 149 St,Bx,False,6,Subway,40.812118,-73.904098,Northbound,Manhattan,1,1,1,,POINT (-73.904098 40.812118),POINT (-73.904098 40.812118),-8226966.556896188,4984668.485078848,False,POINT (-73.904098 40.812118)
M11,97,97,BMT,Jamaica,Myrtle Av,Bk,False,M J Z,Elevated,40.697207,-73.935657,Outbound,Manhattan,0,0,0,,POINT (-73.935657 40.697207),POINT (-73.935657 40.697207),-8230479.6887061335,4967781.832920411,False,POINT (-73.935657 40.697207)
F16,234,234,IND,6th Av - Culver,East Broadway,M,True,F,Subway,40.713715,-73.990173,Uptown,Brooklyn,0,0,0,,POINT (-73.990173 40.713715),POINT (-73.990173 40.713715),-8236548.382066218,4970205.958510377,True,POINT (-73.990173 40.713715)
