u,v,key,line,length_m,spatial,transfer,edge_type,structure,geometry_wkt,source_line,target_line,transfer_distance_m,transfer_basis,travel_time_s,time_source,projection_method,projection_distance,projection_quality,reference_count,temporal_rate_s_per_m,observed
LIM-0001,LIM-0002,0,BRT,2414.418383261667,True,False,in_line,At Grade,"LINESTRING (-77.03741 -11.89639, -77.04804 -11.91545)",,,,,284.25875007058676,projected_lima_scenario,knn_inverse_distance_rate,0.5051585875349189,mode_fallback,12,0.1177338410116718,False
LIM-0002,LIM-0001,0,BRT,2414.418383261667,True,False,in_line,At Grade,"LINESTRING (-77.04804 -11.91545, -77.03741 -11.89639)",,,,,284.25875007058676,projected_lima_scenario,knn_inverse_distance_rate,0.5051585875349189,mode_fallback,12,0.1177338410116718,False
LIM-0002,LIM-0003,0,BRT,2361.591350179554,True,False,in_line,At Grade,"LINESTRING (-77.04804 -11.91545, -77.0564 -11.93505)",,,,,192.91634035807354,projected_lima_scenario,knn_inverse_distance_rate,0.5076060865625637,mode_fallback,12,0.08168912896103127,False
LIM-0003,LIM-0002,0,BRT,2361.591350179554,True,False,in_line,At Grade,"LINESTRING (-77.0564 -11.93505, -77.04804 -11.91545)",,,,,192.91634035807354,projected_lima_scenario,knn_inverse_distance_rate,0.5076060865625637,mode_fallback,12,0.08168912896103127,False
LIM-0003,LIM-0004,0,BRT,1366.9861853646648,True,False,in_line,At Grade,"LINESTRING (-77.0564 -11.93505, -77.06059 -11.94664)",,,,,151.77267944348844,projected_lima_scenario,knn_inverse_distance_rate,0.5212058552058498,mode_fallback,12,0.11102722256333607,False
LIM-0004,LIM-0003,0,BRT,1366.9861853646648,True,False,in_line,At Grade,"LINESTRING (-77.06059 -11.94664, -77.0564 -11.93505)",,,,,151.77267944348844,projected_lima_scenario,knn_inverse_distance_rate,0.5212058552058498,mode_fallback,12,0.11102722256333607,False
LIM-0004,LIM-0005,0,BRT,919.140598994212,True,False,in_line,At Grade,"LINESTRING (-77.06059 -11.94664, -77.05992 -11.95488)",,,,,141.67722726510104,projected_lima_scenario,knn_inverse_distance_rate,0.5035329255472134,mode_fallback,12,0.15414097410138794,False
LIM-0005,LIM-0004,0,BRT,919.140598994212,True,False,in_line,At Grade,"LINESTRING (-77.05992 -11.95488, -77.06059 -11.94664)",,,,,141.67722726510104,projected_lima_scenario,knn_inverse_distance_rate,0.5035329255472134,mode_fallback,12,0.15414097410138794,False
LIM-0005,LIM-0006,0,BRT,916.415479698198,True,False,in_line,At Grade,"LINESTRING (-77.05992 -11.95488, -77.06232 -11.96278)",,,,,113.1439594776661,projected_lima_scenario,knn_inverse_distance_rate,0.5055419083962842,mode_fallback,12,0.12346360573800833,False
LIM-0006,LIM-0005,0,BRT,916.415479698198,True,False,in_line,At Grade,"LINESTRING (-77.06232 -11.96278, -77.05992 -11.95488)",,,,,113.1439594776661,projected_lima_scenario,knn_inverse_distance_rate,0.5055419083962842,mode_fallback,12,0.12346360573800833,False
LIM-0006,LIM-0007,0,BRT,2185.483841116344,True,False,in_line,At Grade,"LINESTRING (-77.06232 -11.96278, -77.05874 -11.98212)",,,,,228.78378412559445,projected_lima_scenario,knn_inverse_distance_rate,0.5196525666043662,mode_fallback,12,0.10468335652792188,False
LIM-0007,LIM-0006,0,BRT,2185.483841116344,True,False,in_line,At Grade,"LINESTRING (-77.05874 -11.98212, -77.06232 -11.96278)",,,,,228.78378412559445,projected_lima_scenario,knn_inverse_distance_rate,0.5196525666043662,mode_fallback,12,0.10468335652792188,False
LIM-0007,LIM-0008,0,BRT,849.6438981090232,True,False,in_line,At Grade,"LINESTRING (-77.05874 -11.98212, -77.05696 -11.98956)",,,,,128.98896896138052,projected_lima_scenario,knn_inverse_distance_rate,0.5011391379361548,mode_fallback,12,0.15181533022064866,False
