Line,num_stations,station_ids,geometry_wkt
BRT,44,LIM-0001|LIM-0002|LIM-0003|LIM-0004|LIM-0005|LIM-0006|LIM-0007|LIM-0008|LIM-0009|LIM-0010|LIM-0011|LIM-0012|LIM-0013|LIM-0014|LIM-0015|LIM-0016|LIM-0017|LIM-0018|LIM-0019|LIM-0020|LIM-0021|LIM-0022|LIM-0023|LIM-0024|LIM-0025|LIM-0026|LIM-0027|LIM-0028|LIM-0029|LIM-0030|LIM-0031|LIM-0032|LIM-0033|LIM-0034|LIM-0035|LIM-0036|LIM-0037|LIM-0038|LIM-0039|LIM-0040|LIM-0041|LIM-0042|LIM-0043|LIM-0044,"LINESTRING (-77.03741 -11.89639, -77.04804 -11.91545, -77.0564 -11.93505, -77.06059 -11.94664, -77.05992 -11.95488, -77.06232 -11.96278, -77.05874 -11.98212, -77.05696 -11.98956, -77.05597 -11.99489, -77.05525 -11.9985, -77.05478 -12.00193, -77.05405 -12.00614, -77.05286 -12.01169, -77.0515 -12.01758, -77.04887 -12.02419, -77.04425 -12.02958, -77.04367 -12.0363, -77.04276 -12.04649, -77.04229 -12.05193, -77.04173 -12.05777, -77.04147 -12.04398, -77.03714 -12.04656, -77.03289 -12.04917, -77.0329 -12.05239, -77.03588 -12.05771, -77.03199 -12.06886, -77.02897 -12.07662, -77.02667 -12.08224, -77.02354 -12.08928, -77.02483 -12.0963, -77.02724 -12.10228, -77.02651 -12.1081, -77.02601 -12.11301, -77.02593 -12.11877, -77.02427 -12.12481, -77.02282 -12.12941, -77.01868 -12.13568, -77.01774 -12.14115, -77.02014 -12.1484, -77.01971 -12.15285, -77.0189 -12.15947, -77.01859 -12.16881, -77.01541 -12.17272, -77.00993 -12.17895)"
L1,26,LIM-0045|LIM-0046|LIM-0047|LIM-0048|LIM-0049|LIM-0050|LIM-0051|LIM-0052|LIM-0053|LIM-0054|LIM-0055|LIM-0056|LIM-0057|LIM-0058|LIM-0059|LIM-0060|LIM-0061|LIM-0062|LIM-0063|LIM-0064|LIM-0065|LIM-0066|LIM-0067|LIM-0068|LIM-0069|LIM-0070,"LINESTRING (-76.93360671401024 -12.207291133469996, -76.93944320082664 -12.196511052959696, -76.94688498973846 -12.18232482670772, -76.9503504037857 -12.169290186006762, -76.95633441209793 -12.16119089872191, -76.96568459272385 -12.156502690902522, -76.97953552007675 -12.150852084524784, -76.99098855257034 -12.142537215398118, -76.9970154762268 -12.134754409500156, -77.00062572956085 -12.127687277979916, -77.0002743601799 -12.111084682396855, -77.00169190764427 -12.100968157748332, -77.00367875397205 -12.087479736764962, -77.01064109802246 -12.077540672115926, -77.01241135597229 -12.06513697835038, -77.01433651149273 -12.05648762614546, -77.009676 -12.0462158, -77.0124116 -12.0416683, -77.0114031 -12.0280274, -77.0028844 -12.018153, -77.0062425 -12.0065782, -77.0096896 -11.9979038, -77.0065139 -11.9851938, -76.9999081 -11.9749367, -76.9934924 -11.9682363, -76.9871422 -11.9598812)"
L2,27,LIM-0071|LIM-0072|LIM-0073|LIM-0074|LIM-0075|LIM-0076|LIM-0077|LIM-0078|LIM-0079|LIM-0080|LIM-0081|LIM-0082|LIM-0083|LIM-0084|LIM-0085|LIM-0086|LIM-0087|LIM-0088|LIM-0089|LIM-0090|LIM-0091|LIM-0092|LIM-0093|LIM-0094|LIM-0095|LIM-0096|LIM-0097,"LINESTRING (-76.91979 -12.02599, -76.92671 -12.032, -76.9316 -12.03788, -76.93869 -12.04408, -76.94669 -12.0473, -76.95633 -12.05117, -76.96402 -12.05425, -76.97404 -12.05846, -76.98357 -12.06335, -77.00035 -12.06349, -77.00712 -12.06028, -77.01332 -12.06101, -77.02116 -12.06207, -77.02987 -12.06322, -77.03507 -12.06049, -77.04144 -12.0604, -77.05186 -12.05709, -77.0574 -12.0555, -77.0667 -12.05751, -77.07323 -12.05865, -77.0815 -12.05556, -77.08964 -12.05214, -77.09816 -12.0535, -77.10587 -12.05499, -77.11485 -12.0568, -77.12763 -12.05921, -77.13899 -12.05238)"
L3,28,LIM-0098|LIM-0099|LIM-0100|LIM-0101|LIM-0102|LIM-0103|LIM-0104|LIM-0105|LIM-0106|LIM-0107|LIM-0108|LIM-0109|LIM-0110|LIM-0111|LIM-0112|LIM-0113|LIM-0114|LIM-0115|LIM-0116|LIM-0117|LIM-0118|LIM-0119|LIM-0120|LIM-0121|LIM-0122|LIM-0123|LIM-0124|LIM-0125,"LINESTRING (-76.98121 -12.15726, -76.98265 -12.14803, -76.97854 -12.13168, -76.98764 -12.12779, -77.0009 -12.12894, -77.0097 -12.12753, -77.01788 -12.12631, -77.02383 -12.12539, -77.02915 -12.12071, -77.03025 -12.11162, -77.0316 -12.10361, -77.03336 -12.09231, -77.03473 -12.08347, -77.03566 -12.07662, -77.03671 -12.06936, -77.03784 -12.05983, -77.03873 -12.05099, -77.03752 -12.04639, -77.04207 -12.03696, -77.05801 -12.02876, -77.06005 -12.01547, -77.06138 -12.00796, -77.06405 -11.98993, -77.06606 -11.97722, -77.06844 -11.96217, -77.07104 -11.94535, -77.07171 -11.93758, -77.06393 -11.92465)"
L4,28,LIM-0126|LIM-0127|LIM-0128|LIM-0129|LIM-0130|LIM-0131|LIM-0132|LIM-0133|LIM-0134|LIM-0135|LIM-0136|LIM-0137|LIM-0138|LIM-0139|LIM-0140|LIM-0141|LIM-0142|LIM-0143|LIM-0144|LIM-0145|LIM-0146|LIM-0147|LIM-0148|LIM-0149|LIM-0150|LIM-0151|LIM-0152|LIM-0153,"LINESTRING (-76.93783 -12.04421, -76.93806 -12.05395, -76.94857 -12.06882, -76.95668 -12.07153, -76.96368 -12.07555, -76.97338 -12.08388, -76.98455 -12.08515, -76.99661 -12.08701, -77.00355 -12.08804, -77.01916 -12.0903, -77.02269 -12.09074, -77.03362 -12.09229, -77.03866 -12.09301, -77.04734 -12.09423, -77.05079 -12.09462, -77.06317 -12.08645, -77.06741 -12.08303, -77.08073 -12.07832, -77.09342 -12.07736, -77.09724 -12.06252, -77.09811 -12.05311, -77.09917 -12.04027, -77.09939 -12.03588, -77.10288 -12.02806, -77.1061 -12.02196, -77.11092 -12.01205, -77.11678 -12.00101, -77.12593 -11.99695)"
L5,14,LIM-0154|LIM-0155|LIM-0156|LIM-0157|LIM-0158|LIM-0159|LIM-0160|LIM-0161|LIM-0162|LIM-0163|LIM-0164|LIM-0165|LIM-0166|LIM-0167,"LINESTRING (-76.95401 -12.20624, -76.96376 -12.21214, -76.97481 -12.2059, -76.97837 -12.19673, -76.98831 -12.18786, -76.99587 -12.17853, -76.99863 -12.16798, -76.99443 -12.16017, -77.00616 -12.15074, -77.01171 -12.14709, -77.01774 -12.14171, -77.01789 -12.13379, -77.01814 -12.12614, -77.01843 -12.11284)"
L6,36,LIM-0168|LIM-0169|LIM-0170|LIM-0171|LIM-0172|LIM-0173|LIM-0174|LIM-0175|LIM-0176|LIM-0177|LIM-0178|LIM-0179|LIM-0180|LIM-0181|LIM-0182|LIM-0183|LIM-0184|LIM-0185|LIM-0186|LIM-0187|LIM-0188|LIM-0189|LIM-0190|LIM-0191|LIM-0192|LIM-0193|LIM-0194|LIM-0195|LIM-0196|LIM-0197|LIM-0198|LIM-0199|LIM-0200|LIM-0201|LIM-0202|LIM-0203,"LINESTRING (-76.96643 -12.02474, -76.96271 -12.03716, -76.96988 -12.04374, -76.96443 -12.05516, -76.97252 -12.06979, -76.96318 -12.10344, -76.97041 -12.08233, -76.97351 -12.09657, -76.97285 -12.10982, -76.97821 -12.11023, -76.98456 -12.11067, -76.99375 -12.11125, -77.00051 -12.11171, -77.01049 -12.11241, -77.0249 -12.11339, -77.02974 -12.11382, -77.03699 -12.11408, -77.04849 -12.11319, -77.05295 -12.10879, -77.0694 -12.09797, -77.07989 -12.09214, -77.08379 -12.0869, -77.08128 -12.07779, -77.07777 -12.06849, -77.08074 -12.05557, -77.07682 -12.04652, -77.07755 -12.03186, -77.07542 -12.02615, -77.07632 -12.01928, -77.07982 -12.01268, -77.0825 -12.00657, -77.08469 -11.99653, -77.08099 -11.98862, -77.07219 -11.9838, -77.0879 -11.97376, -77.09916 -11.96148)"
L7,24,LIM-0204|LIM-0205|LIM-0206|LIM-0207|LIM-0208|LIM-0209|LIM-0210|LIM-0211|LIM-0212|LIM-0213|LIM-0214|LIM-0215|LIM-0216|LIM-0217|LIM-0218|LIM-0219|LIM-0220|LIM-0221|LIM-0222|LIM-0223|LIM-0224|LIM-0225|LIM-0226|LIM-0227,"LINESTRING (-77.12607 -11.99619, -77.12549 -11.98881, -77.12518 -11.98215, -77.12503 -11.97777, -77.12506 -11.97242, -77.12679 -11.96409, -77.12841 -11.95916, -77.13096 -11.95168, -77.13144 -11.94406, -77.13077 -11.93612, -77.1294 -11.92314, -77.12868 -11.9089, -77.12663 -11.89528, -77.12598 -11.88674, -77.12674 -11.87769, -77.12835 -11.86659, -77.13 -11.85566, -77.11964 -11.84765, -77.111 -11.83761, -77.1191 -11.82911, -77.12859 -11.81464, -77.14012 -11.79905, -77.15435 -11.78524, -77.16374 -11.77603)"
L8,11,LIM-0228|LIM-0229|LIM-0230|LIM-0231|LIM-0232|LIM-0233|LIM-0234|LIM-0235|LIM-0236|LIM-0237|LIM-0238,"LINESTRING (-77.03526 -12.05866, -77.03038 -12.05469, -77.0269 -12.04799, -77.0311 -12.0396, -77.02794 -12.0318, -77.0187 -12.02888, -77.01138 -12.02847, -77.00181 -12.0257, -76.99144 -12.02438, -76.98134 -12.02497, -76.96697 -12.02409)"
L9,14,LIM-0239|LIM-0240|LIM-0241|LIM-0242|LIM-0243|LIM-0244|LIM-0245|LIM-0246|LIM-0247|LIM-0248|LIM-0249|LIM-0250|LIM-0251|LIM-0252,"LINESTRING (-77.02845 -12.03147, -77.03716 -12.02368, -77.0518 -12.01593, -77.06255 -12.00879, -77.07932 -12.01265, -77.07051 -12.01096, -77.09502 -12.01335, -77.10507 -12.02158, -77.11604 -12.04265, -77.11531 -12.04982, -77.11471 -12.05755, -77.11878 -12.06464, -77.10947 -12.07017, -77.09962 -12.07426)"
