estacion;servicio;coordenadas
Chimpu Ocllo;BRT;(-11.89639, -77.03741)
Los Incas;BRT;(-11.91545, -77.04804)
Andrés Belaunde;BRT;(-11.93505, -77.0564)
22 de Agosto;BRT;(-11.94664, -77.06059)
Las Vegas;BRT;(-11.95488, -77.05992)
Universidad;BRT;(-11.96278, -77.06232)
Naranjal;BRT;(-11.98212, -77.05874)
Izaguirre;BRT;(-11.98956, -77.05696)
Pacífico;BRT;(-11.99489, -77.05597)
Independencia;BRT;(-11.9985, -77.05525)
Los Jazmines;BRT;(-12.00193, -77.05478)
Tomás Valle;BRT;(-12.00614, -77.05405)
El Milagro;BRT;(-12.01169, -77.05286)
Honorio Delgado;BRT;(-12.01758, -77.0515)
UNI;BRT;(-12.02419, -77.04887)
Parque del Trabajo;BRT;(-12.02958, -77.04425)
Caquetá;BRT;(-12.0363, -77.04367)
2 de Mayo;BRT;(-12.04649, -77.04276)
Quilca;BRT;(-12.05193, -77.04229)
España;BRT;(-12.05777, -77.04173)
Ramón Castilla;BRT;(-12.04398, -77.04147)
Tacna;BRT;(-12.04656, -77.03714)
Jirón de la Unión;BRT;(-12.04917, -77.03289)
Colmena;BRT;(-12.05239, -77.0329)
Estación Central;BRT;(-12.05771, -77.03588)
Estadio Nacional;BRT;(-12.06886, -77.03199)
México;BRT;(-12.07662, -77.02897)
Canadá;BRT;(-12.08224, -77.02667)
Javier Prado;BRT;(-12.08928, -77.02354)
Canaval y Moreyra;BRT;(-12.0963, -77.02483)
Comunidad Andina/Aramburú;BRT;(-12.10228, -77.02724)
Domingo Orué;BRT;(-12.1081, -77.02651)
Angamos;BRT;(-12.11301, -77.02601)
Ricardo Palma;BRT;(-12.11877, -77.02593)
Benavides;BRT;(-12.12481, -77.02427)
28 de Julio;BRT;(-12.12941, -77.02282)
Plaza de Flores;BRT;(-12.13568, -77.01868)
Balta;BRT;(-12.14115, -77.01774)
Bulevar;BRT;(-12.1484, -77.02014)
Estadio Unión;BRT;(-12.15285, -77.01971)
Escuela Militar;BRT;(-12.15947, -77.0189)
Fernando Terán;BRT;(-12.16881, -77.01859)
Rosario de Villa;BRT;(-12.17272, -77.01541)
Matellini;BRT;(-12.17895, -77.00993)
Villa El Salvador;L1;(-12.207291133469997, -76.93360671401024)
Parque Industrial;L1;(-12.196511052959696, -76.93944320082664)
Pumacahua;L1;(-12.18232482670772, -76.94688498973846)
Villa María;L1;(-12.169290186006762, -76.9503504037857)
María Auxiliadora;L1;(-12.16119089872191, -76.95633441209793)
San Juan;L1;(-12.156502690902522, -76.96568459272385)
Atocongo;L1;(-12.150852084524784, -76.97953552007675)
Jorge Chávez;L1;(-12.142537215398118, -76.99098855257034)
Ayacucho;L1;(-12.134754409500157, -76.9970154762268)
Cabitos;L1;(-12.127687277979916, -77.00062572956085)
Angamos;L1;(-12.111084682396857, -77.0002743601799)
San Borja Sur;L1;(-12.100968157748333, -77.00169190764427)
La Cultura;L1;(-12.087479736764962, -77.00367875397205)
Arriola;L1;(-12.077540672115926, -77.01064109802246)
Gamarra;L1;(-12.06513697835038, -77.01241135597229)
Grau;L1;(-12.05648762614546, -77.01433651149273)
El Ángel;L1;(-12.0462158, -77.009676)
Presbítero Maestro;L1;(-12.0416683, -77.0124116)
Caja de Agua;L1;(-12.0280274, -77.0114031)
Pirámides del Sol;L1;(-12.018153, -77.0028844)
Los Jardines;L1;(-12.0065782, -77.0062425)
Los Postes;L1;(-11.9979038, -77.0096896)
San Carlos;L1;(-11.9851938, -77.0065139)
San Martín;L1;(-11.9749367, -76.9999081)
Santa Rosa;L1;(-11.9682363, -76.9934924)
Bayóvar;L1;(-11.9598812, -76.9871422)
Municipalidad de Ate;L2;(-12.02599, -76.91979)
Javier Prado;L2;(-12.032, -76.92671)
Vista Alegre;L2;(-12.03788, -76.9316)
Mercado Santa Anita;L2;(-12.04408, -76.93869)
Hermilio Valdizán;L2;(-12.0473, -76.94669)
Colectora Industrial;L2;(-12.05117, -76.95633)
Óvalo Santa Anita;L2;(-12.05425, -76.96402)
Evitamiento;L2;(-12.05846, -76.97404)
San Juan de Dios;L2;(-12.06335, -76.98357)
Circunvalación;L2;(-12.06349, -77.00035)
Nicolas Ayllón;L2;(-12.06028, -77.00712)
28 de julio;L2;(-12.06101, -77.01332)
Cangallo;L2;(-12.06207, -77.02116)
Plaza Manco Capac;L2;(-12.06322, -77.02987)
Estación Central;L2;(-12.06049, -77.03507)
Plaza Bolognesi;L2;(-12.0604, -77.04144)
Parque Murillo;L2;(-12.05709, -77.05186)
