estacion;distrito;ubicacion;coordenadas
Villa El Salvador;Villa El Salvador;Av. Separadora Industrial / Av. Velasco Alvarado;(-12.207291133469997,-76.93360671401024)
Parque Industrial;Villa El Salvador;Av. Separadora Industrial / Av. El Sol;(-12.196511052959696,-76.93944320082664)
Pumacahua;VM del Triunfo;Av. La Unión / Pedro Ruiz Gallo / E. Aguirre;(-12.18232482670772,-76.94688498973846)
Villa María;VM del Triunfo;Av. Pachacútec / Av. Santa Rosa;(-12.169290186006762,-76.9503504037857)
María Auxiliadora;VM del Triunfo;Av. Pachacútec / Av. Manco Cápac;(-12.16119089872191,-76.95633441209793)
San Juan;SJ de Miraflores;Los Héroes / Av. César Canevaro;(-12.156502690902522,-76.96568459272385)
Atocongo;SJ de Miraflores;Av. Los Héroes / Av. Buckingham;(-12.150852084524784,-76.97953552007675)
Jorge Chávez;Santiago de Surco;Av. Tomás Marsano / Av. Jorge Chávez;(-12.142537215398118,-76.99098855257034)
Ayacucho;Santiago de Surco;Av. Tomás Marsano / Av. Ayacucho;(-12.134754409500157,-76.9970154762268)
Cabitos;Santiago de Surco;Av. Aviación / Óvalo Los Cabitos (Higuereta);(-12.127687277979916,-77.00062572956085)
Angamos;San Borja;Av. Aviación / Av. Primavera;(-12.111084682396857,-77.0002743601799)
San Borja Sur;San Borja;Av. Aviación / Av. San Borja Sur;(-12.100968157748333,-77.00169190764427)
La Cultura;San Borja;Av. Aviación / Av. Javier Prado;(-12.087479736764962,-77.00367875397205)
Arriola;La Victoria;Av. Aviación / Óvalo Arriola;(-12.077540672115926,-77.01064109802246)
Gamarra;La Victoria;Av. Aviación / Jirón Hipólito Unanue;(-12.06513697835038,-77.01241135597229)
Grau;Cercado de Lima;Av. Grau / Nicolás Ayllón;(-12.05648762614546,-77.01433651149273)
El Ángel;El Agustino;Av. Locumba Nro. S/N (Cementerio el Ángel);(-12.0462158,-77.009676)
Presbítero Maestro;El Agustino;Av. Locumba Nro. S/N (Cementerio Presbítero Maestro);(-12.0416683,-77.0124116)
Caja de Agua;San Juan de Lurigancho;AV. Próceres de la Independencia / Óvalo Zárate;(-12.0280274,-77.0114031)
Pirámides del Sol;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. Pirámides del Sol;(-12.018153,-77.0028844)
Los Jardines;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. Los Jardines;(-12.0065782,-77.0062425)
Los Postes;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. Los Postes;(-11.9979038,-77.0096896)
San Carlos;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. El Sol;(-11.9851938,-77.0065139)
San Martín;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. Canto Rey;(-11.9749367,-76.9999081)
Santa Rosa;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. Santa Rosa;(-11.9682363,-76.9934924)
Bayóvar;San Juan de Lurigancho;Av. Próceres de la Independencia / Av. Bayóvar;(-11.9598812,-76.9871422)
