paradero;corredor;ida;vuelta;coordenadas
Óvalo La Curva;America;1;1;()
Guardia Peruana;America;1;1;()
El Sol;America;1;1;()
Paradero C;America;1;1;()
Los Naranjos;America;1;1;()
Calle 3;America;1;1;()
Velasco Alvarado;America;1;1;()
Santa Rosa;America;1;1;()
Mártir Olaya;America;1;1;()
Mártires;America;1;1;()
Unión;America;1;1;()
Panamericana;America;1;1;()


Huaylas;Cedros de Villa;1;1;()
Alameda Sur;Cedros de Villa;1;1;()
Los Pinos;Cedros de Villa;1;1;()
Plaza Vea;Cedros de Villa;1;1;()
Las Camelias;Cedros de Villa;1;1;()
Cedros de Villa;Cedros de Villa;1;1;()
Las Tortugas;Cedros de Villa;1;0;()
Aruba;Cedros de Villa;1;0;()
Ballestas;Cedros de Villa;0;1;()
Isla Española;Cedros de Villa;0;1;()


Óvalo la Curva;Los Próceres;1;0;()
Calango;Los Próceres;1;1;()
Guardia Peruana;Los Próceres;1;1;()
Los Meteoros;Los Próceres;1;0;()
El Sol;Los Próceres;0;1;()
Alipio Ponce;Los Próceres;1;1;()
Los Incas;Los Próceres;1;1;()
Vista Alegre;Los Próceres;0;1;()
Villa Alegre;Los Próceres;1;1;()
Alcides Vigo;Los Próceres;1;1;()
Las Crucetas;Los Próceres;1;1;()
D. Tristán y Moscoso;Los Próceres;0;1;()


INR;Villa el Salvador;0;1;()
Lavalle;Villa el Salvador;1;1;()
Pantanos de Villa;Villa el Salvador;1;1;()
Santa Rosa;Villa el Salvador;1;1;()
Panamericana Sur;Villa el Salvador;1;1;()
Almacenes;Villa el Salvador;1;1;()
Villa Panamericana;Villa el Salvador;1;1;()
Pastor Sevilla;Villa el Salvador;1;1;()
Micaela Bastidas;Villa el Salvador;1;1;()
Álamos;Villa el Salvador;1;1;()
Velasco Alvarado;Villa el Salvador;1;1;()
César Vallejo;Villa el Salvador;1;1;()
José Carlos Mariátegui;Villa el Salvador;1;1;()
200 Millas;Villa el Salvador;0;1;()
Parque Zonal Huáscar;Villa el Salvador;1;1;()


Marcara;Naranjal;1;1;()
Las Palmeras;Naranjal;1;1;()
