paradero;corredor;ida;vuelta;coordenadas
24 de Junio;301;1;1;()
Complejo Deportivo;301;0;1;()
Eduardo Dibós;301;0;1;()
Carlos Valderrama;301;0;1;()
Calle 1;301;1;1;()
Amancaes;301;1;1;()
La Colonia;301;1;1;()
Madrid;301;1;1;()
Leoncio Prado;301;1;1;()
Guardia Republicana;301;1;1;()
Chira;301;1;1;()
Virú;301;1;1;()
Ica;301;1;1;()
Moquegua;301;1;1;()
Ilo;301;1;1;()
Bolivia;301;1;1;()
España;301;0;1;()
Tarma;301;0;1;()
Saco Oliveros;301;1;1;()
Ramón Dagnino;301;1;1;()
Cuba;301;1;1;()
E. Villar;301;1;1;()
Manuel Segura;301;1;1;()
Manuel Candamo;301;1;1;()
Tomás Guido;301;1;1;()
Soledad;301;1;1;()
Manuel Bañón;301;1;1;()
Juan de Arona;301;1;1;()
Choquehuanca;301;1;1;()
Aramburú;301;1;1;()
Los Ángeles;301;1;1;()
Andalucía;301;1;1;()
Ayacucho;301;1;1;()
Angamos;301;1;1;()
Piura;301;1;1;()
Pardo;301;1;1;()
Berlín;301;0;1;()
28 de Julio;301;0;1;()
Larco;301;0;1;()
Ricardo Palma;301;1;0;()
Schell;301;1;0;()
Benavides;301;1;0;()
Armendáriz;301;1;1;()
San Ignacio de Loyola;301;1;1;()
La Paz;301;0;1;()
Acacias;301;1;0;()
Chipoco;301;1;1;()
Centenario;301;0;1;()
Balta;301;0;1;()
El Sol;301;1;0;()
Plaza Butters;301;0;1;()


Lima;303;0;1;()
Comisaria;303;0;1;()
La Losa;303;0;1;()
Túnel;303;0;1;()
Talara;303;1;0;()
Proceres;303;1;0;()
Leoncio Prado;303;1;1;()
Pizarro;303;1;1;()
Huancavelica;303;1;1;()
Nicolás de Piérola;303;1;1;()
Villarán;303;1;1;()
España;303;1;1;()
Huancayo;303;1;1;()
Natalio Sánchez;303;1;1;()
Cuba;303;1;1;()
Manuel Segura;303;1;1;()
Risso;303;1;1;()
Soledad;303;1;1;()
Manuel Bañón;303;1;1;()
Aramburú;303;1;1;()
Teruel;303;1;1;()
Angamos;303;1;1;()
2 de Mayo;303;1;1;()


Condominios;305;1;1;()
Morro de Arica;305;1;1;()
Amancaes;305;1;1;()
La Colonia;305;1;1;()
Madrid;305;1;1;()
Leoncio Prado;305;1;1;()
G. Republicana;305;1;1;()
Chira;305;1;1;()
Virú;305;1;1;()
Ica;305;1;1;()
Moquegua;305;1;1;()
Ilo;305;1;1;()
Bolivia;305;1;1;()
España;305;1;1;()
Huancayo;305;0;1;()
Saco Oliveros;305;1;1;()
Ramón Dagnino;305;1;1;()
Cuba;305;1;1;()
E. Villar;305;1;1;()
Manuel Segura;305;1;1;()
Manuel Candamo;305;1;1;()
Tomás Guido;305;1;1;()
Soledad;305;1;1;()
Manuel Bañón;305;1;1;()
Juan de Arona;305;1;1;()
Choquehuanca;305;1;1;()
Aramburú;305;1;1;()
Los Ángeles;305;1;1;()
Andalucía;305;1;1;()
Ayacucho;305;1;1;()
Angamos;305;1;1;()
Piura;305;1;1;()
2 de Mayo;305;1;1;()


24 de Junio;336;1;1;()
Complejo Deportivo;336;0;1;()
Eduardo Dibos;336;1;1;()
Carlos Valderrama;336;0;1;()
Aguilar;336;1;1;()
Los Virreyes;336;1;1;()
Leoncio Prado;336;1;1;()
Viru;336;1;1;()
Huancavelica;336;1;1;()
Nicolás de Piérola;336;1;1;()
Villarán;336;1;1;()
España;336;1;1;()
Huancayo;336;0;1;()
Saco Oliveros;336;0;1;()
Saco Oliveros;336;1;0;()
Cuba;336;0;1;()
Alejandro Tirado;336;1;0;()
Manuel Del Pino;336;0;1;()
Manuel Segura;336;1;1;()
León Velarde;336;0;1;()
Manuel Candmo;336;1;0;()
Joaquin Bernal;336;0;1;()
Risso;336;1;0;()
Javier Prado;336;0;1;()
Manual Bañon;336;0;1;()
Paz Soldán;336;0;1;()
Choquehuanca;336;0;1;()
Pezet;336;0;1;()
Dasso;336;0;1;()
Domingo Casanova;336;1;0;() 
Olavide;336;1;0;()
Paz Soldán;336;1;0;()
Choquehuanca;336;1;0;()
Conde de la Monclava;336;1;0;()
Pardo y Aliaga;336;1;0;()
Óvalo Gutierrez;336;1;1;()
Angamos;336;1;1;()
Pardo;336;1;1;()


Mónaco;3;1;0;1;()
Pasaje 17;3;1;0;1;()
Cerezos;3;1;0;1;()
Claveles;3;1;0;1;()
24 de Junio;3;1;0;1;()
Complejo Deportivo;3;0;0;1;()
Calle 10;370;1;0;()
Eduardo Dibós;3;0;0;1;()
Carlos Valderrama;3;1;0;1;()
Calle 1;3;1;0;1;()
Amancaes;3;1;0;1;()
Madrid;3;1;0;1;()
Antón Sánchez;3;1;0;1;()
Prolongación Tacna;3;0;0;1;()
Prolongación Alcázar;370;1;0;()
22 de Agosto;3;0;0;1;()
Sechura;3;0;0;1;()
Cajamarca;3;0;0;1;()
Trujillo;3;0;0;1;()
Acho;3;0;0;1;()
Alameda de los Descalzos;370;1;0;()
Chiclayo;370;1;0;()
Acho;370;1;0;()


Las Lomas;371;1;1;()
Condominios;371;1;0;()
Morro de Arica;371;1;1;()
Amancaes;371;1;1;()

Chiclayo;08;1;1;()
Huancayo;08;1;1;()
Plaza de Armas;08;1;1;()
Andahuaylas;08;0;1;()
Abancay;08;1;1;()
Villa Rica;08;1;1;()
San Salvador;08;1;1;()
Santa Fe;08;0;1;()
Pinar del Rio;08;1;1;()
Pérez de Tudela;08;1;1;()
Materiales;08;1;1;()
Argentina;08;1;1;()
Dansey;08;1;0;()
Galdeano y Mendoza;08;1;0;()
Zorritos;08;1;1;()
Naciones Unidas;08;1;0;()
Chota;08;1;0;()
Iquique;08;1;0;()
Jorge Chávez;08;1;0;()
Aguarico;08;1;0;()
Tingo María;08;1;0;()
Zorritos;08;0;1;()
INO;08;0;1;()
Arica;08;0;1;()
Aguarico;08;0;1;()
Loreto;08;0;1;()
Huaraz;08;0;1;()
Alfonso Ugarte;08;0;1;()
Garcilazo de la Vega;08;0;1;()
Uruguay;08;0;1;()
Quilca;08;1;1;()
Nicolás de Piérola;08;1;1;()
Emacipación;08;0;1;()
Callao;08;1;1;()
