paradero;corredor;ida;vuelta;coordenadas
La Capilla;404;1;1;()
Montenegro;404;1;1;()
Motupe;404;1;1;()
8 de Mariscal;404;1;1;()
Mariátegui;404;1;1;()
La Cinco;404;1;1;()
La Cuatro;404;1;1;()
Bayóvar;404;1;1;()
La Quince;404;1;1;()
Santa Rosa;404;1;1;()
San Martín;404;1;1;()
La Ocho;404;1;1;()
Sedapal;404;1;1;()
San Carlos;404;1;1;()
Basadre;404;1;1;()
Los Postes;404;1;1;()
La Hacienda;404;1;1;()
Celima;404;1;1;()
Ascarruz;404;1;0;()
Pirámides del Sol;404;1;1;()
Encimas;404;1;1;()
Túpac Amaru;404;1;1;()
Lima Las Flores;404;0;1;()
Concejo;404;1;1;()
Mercado de Flores;404;1;1;()
Acho;404;1;1;()
Áncash;404;1;1;()
Ucayali;404;1;1;()
Cuzco;404;1;1;()
Nicolás de Piérola;404;1;1;()
Grau;404;1;1;()
Cotabambas;404;1;1;()
Garcilaso;404;1;1;()
Bolognesi;404;1;1;()
Don Bosco;404;1;1;()
Hospital del Niño;404;1;1;()
La Nueve;404;1;1;()
La Doce;404;1;1;()
Bolivar;404;1;1;()
La Dieciocho;404;1;1;()
Óvalo;404;1;1;()
Colegio;404;1;1;()
Hospital PNP;404;1;1;()
Javier Prado;404;1;1;()
Venus;404;1;1;()
La Virgen;404;1;1;()


La Capilla;405;1;1;()
Montenegro;405;1;1;()
Motupe;405;1;1;()
8 de Mariscal;405;1;1;()
Mariátegui;405;1;1;()
La Cinco;405;1;1;()
La Cuatro;405;1;1;()
Seoane;405;1;1;()
Bayóvar DC;405;1;1;()
La Quince;405;1;1;()
Santa Rosa;405;1;1;()
San Martín;405;1;1;()
La Ocho;405;1;1;()
Sedapal;405;1;1;()
San Carlos;405;1;1;()
Basadre;405;1;1;()
Los Postes;405;1;1;()
La Hacienda;405;1;1;()
Celima;405;1;1;()
Pirámides del Sol;405;1;1;()
Encinas;405;1;1;()
Túpac Amaru;405;1;1;()
Lima Las Flores;405;1;1;()
Concejo;405;1;1;()
Mercado de Flores;405;1;1;()
Acho;405;1;1;()
Áncash;405;1;1;()
Ucayali;405;1;1;()
Cuzco;405;1;1;()
Nicolás de Piérola;405;0;1;()
Grau;405;1;1;()
28 de Julio;405;1;1;()
Unanue;405;1;1;()
