paradero;corredor;ida;vuelta;coordenadas
Calle 66;201;0;1;()
Venezuela;201;1;1;()
Óvalo la Perla;201;1;1;()
Bomberos;201;1;1;()
Lopez Albujar;201;1;0;()
Haya de la Torre;201;1;1;()
Base Naval;201;0;1;()
Los Insurgentes;201;1;1;()
Canamelares;201;1;1;()
Honda;201;1;1;()
Rafael Escardo;201;1;1;()
P. de las Leyendas;201;1;1;()
Plaza San Miguel;201;1;0;()
Universitaria;201;1;1;()
Bartolomé Herrera;201;1;1;()
Sucre;201;1;1;()
Hospital Militar;201;1;1;()
Gregorio Escobedo;201;1;1;()
Salaverry;201;1;1;()
Javier Prado;201;0;1;()
Las Flores;201;1;1;()
Los Cedros;201;1;1;()
Las Palmeras;201;1;1;()
Arenales;201;1;1;()
Petit Thouars;201;1;1;()
Parodi;201;1;1;()
Orquídeas;201;1;1;()
Masías;201;1;1;()
Clínica Ricardo Palma;201;1;1;()
Guardia Civil;201;1;1;()
Aviación;201;1;1;()
Aviación;201;1;1;()
Rosa Toro;201;1;1;()
J. Borja;201;1;0;()
Circunvalación;201;1;1;()
Jockey;201;1;1;()
Clinica;201;1;0;()
U. de Lima;201;1;1;()
Camacho;201;1;1;()
Los Frutales;201;1;1;()
La Molina;201;1;1;()
Ingenieros;201;1;1;()
Flora Tristán;201;1;1;()
Óvalo Huarochirí;201;1;1;()
Monumental;201;1;1;()
París;201;1;1;()
Vista Alegre;201;1;1;()
Holanda;201;1;1;()
Berlín;201;1;1;()
Ceres;201;1;1;()


Huertos;204;1;1;()
Grifo;204;1;1;()
Ca. 62;204;1;1;()
Tres Marias;204;1;1;()
Ca. 39;204;1;1;()
Union;204;1;1;()
Naranjos;204;1;1;()
Uno;204;1;1;()
San Cristobal;204;1;1;()
Ecoparque;204;1;1;()
Ca. 10;204;1;1;()
Ca. 15;204;1;1;()
Enrique Palacios;204;1;1;()
Ovalo San Juan Bautista;204;1;1;()
Ensenada;204;1;1;()
San Juan Bautista;204;1;1;()
Paradero 1;204;1;1;()
Víctor Malásquez;204;1;1;()
Las Dunas;204;1;1;()
Sauces;204;1;1;()
Madreselvas;204;1;1;()
Naplo;204;1;1;()
La Punta;204;1;1;()
Mónaco;204;1;1;()
El Sol;204;1;1;()
Rinconada del Lago;204;1;1;()
Laguna Grande;204;1;1;()
A. Quesada;204;1;1;()
Molicentro;204;1;1;()
Bello Horizonte;204;1;1;()
Centenario;204;1;1;()
Huarochirí;204;1;1;()
Flora Tristán;204;1;1;()
Ingenieros;204;1;1;()
La Molina;204;1;1;()
Camacho;204;1;1;()
Clínica;204;1;1;()
Floresta;204;1;1;()
Evitamiento;204;1;1;()
Circunvalación;204;1;1;()
J. Borja;204;1;1;()
Rosa Toro;204;1;1;()
San Luis;204;1;1;()
Aviación;204;1;1;()
Guardia Civil;204;1;1;()
Quiñones;204;1;1;()
Masías;204;1;1;()
Orquídeas;204;1;1;()
Petit Thouars;204;1;1;()
Arenales;204;1;1;()
Las Palmeras;204;1;1;()
Los Nogales;204;1;1;()
Pershing;204;1;1;()
Embajada;204;1;1;()
Aliaga;204;1;1;()
Gonzales Prada;204;1;1;()
Brasil;204;1;1;()
Junin;204;1;1;()
Sucre;204;1;1;()
Bartolomé Herrera;204;1;1;()
Universitaria;204;1;1;()
Plaza San Miguel;204;1;1;()
Parque de las Leyendas;204;1;1;()
Rafael Escardó;204;1;1;()
La Marina;204;0;1;()
Contisuyo;204;1;0;()
